iteration,continuity,epsilon,k,vf-phase-2,x-velocity,y-velocity,z-velocity
1.0,1.0,59418782.11222626,270.8032650544416,0.09951080081056873,0.001290454848437476,0.001679696235125623,0.00134833178229491
2.0,1.0,0.2521592908930199,0.1788595630555395,0.6002258162416538,0.0007815974142398765,0.001033807217750522,0.0008083618031957035
3.0,0.7558297004844733,0.2933822871244579,0.1586146141130172,0.3000671099669488,0.000485762673828102,0.0006289423331845793,0.0004876082997229963
4.0,0.6966748831798025,0.2958556593256235,0.1265587047275751,0.2000458410763096,0.0004289801078487709,0.0005302130751002153,0.0004510613681503668
5.0,0.658873211936766,0.283883253240656,0.1046569514021429,0.150034935870665,0.0004075194053524087,0.0004696607511485969,0.0004454369771945325
6.0,0.6259677002135765,0.2656340728182786,0.08502150857783766,0.1200289391275026,0.0003694240345828617,0.0004164460593305001,0.0004094431286139437
7.0,0.6555998655305134,0.2578750827002739,0.0710929200319051,0.100024719972049,0.0003620287938525706,0.0003916670463353642,0.0004076078313602114
8.0,0.5980476732232498,0.2360950595735994,0.0586565786827478,0.08573612371204165,0.0003365159637605496,0.0003323477444038149,0.0003855553836200444
9.0,0.6204722894649456,0.220800711806,0.04851465184509912,0.07501941407626325,0.0003288421566262826,0.0003213812307567779,0.0003846699986667325
10.0,0.5841574205465072,0.2041000073737379,0.04134372818883373,0.06668466519164731,0.0003074581216778517,0.0002843960589219075,0.0003703711963502623
11.0,0.5776444124551379,0.1808676187441163,0.03496580991865326,0.06001688401071388,0.0002981080050366632,0.0002692040834748093,0.0003688582652150186
12.0,0.5590648048407715,0.1612194847052363,0.02945925736104556,0.05456137594402938,0.000281530476172104,0.0002486212357854883,0.0003593974737895524
13.0,0.5535988101750247,0.1327342107843625,0.025242191841031,0.05001506195846001,0.0002732305676262402,0.0002432041748432655,0.0003568409536638034
14.0,0.5304041206754019,0.122902560604992,0.02198832264067164,0.04616839999531248,0.0002583763810008812,0.0002313641945391007,0.0003442260707664121
15.0,0.5206648034448574,0.1162795962347723,0.01971860002552494,0.04287140846578037,0.000248428886881354,0.0002268883142076358,0.00033681631454824
16.0,0.5098304610178372,0.1076609116820953,0.01790124958704232,0.04001403033345053,0.0002357075613589213,0.0002190167203429454,0.0003250358145880059
17.0,0.5022348689391218,0.08476793096677414,0.01629702924337845,0.0375139899418991,0.0002269073731360986,0.0002169667313500463,0.0003179964501423525
18.0,0.4898396806837133,0.07765734179208464,0.01495570828261188,0.03530817540676161,0.0002157948637248317,0.0002106356795791783,0.0003089299070375163
19.0,0.4874533638785455,0.06717286882965824,0.01390044388343055,0.03334778370643469,0.0002080440734840128,0.0002093412542445483,0.0003020433802124423
20.0,0.4817704482909649,0.06093871434788373,0.01305340961766883,0.03159390418471496,0.0001982923653284509,0.0002055617383578489,0.0002934266678587566
21.0,0.4771817519967455,0.05112253145926952,0.012338701056272,0.03001561618474315,0.0001926181695525182,0.0002059598147177924,0.000287606886642755
22.0,0.4713026991551764,0.04718385353529254,0.01172119251440855,0.02858783258329215,0.0001850455980533067,0.0002029847964799136,0.0002799540164108094
23.0,0.469336671875674,0.04552726771366272,0.01122975751809896,0.02728996250660198,0.0001801166301058915,0.0002031095534429939,0.0002750922536314425
24.0,0.4685527430005059,0.04174752596007002,0.01081944068488518,0.02610502687833747,0.0001738835505302789,0.0002001515767288363,0.0002680944044690361
25.0,0.4644643233382182,0.03455805817094817,0.01042703983518506,0.02501895745835026,0.0001690822906403979,0.0001988210362127681,0.000262709725400589
26.0,0.466660531166986,0.02998236566861989,0.0101132296445718,0.02402006283709455,0.0001645275036699546,0.0001974529531259575,0.0002579520909658035
27.0,0.4674809574139919,0.02755945073055434,0.009880786642461755,0.02309820099498209,0.0001605703927707363,0.0001962565647556354,0.0002533292281213801
28.0,0.4695198988127054,0.04820327059838958,0.009722350504234043,0.02224472753321241,0.0001564151679920793,0.000194454350896154,0.0002492721784368364
29.0,0.4693607310135924,1.284545928835504,0.01022275673427128,0.02145230245415862,0.0001537183827921776,0.0001950258723568349,0.0002468952636909243
30.0,0.4753586385166129,0.2635409013145998,0.0101129758693862,0.02071467480648295,0.0001494028313770573,0.0001913064435646554,0.0002423085479408855
31.0,0.4768799553332789,0.1924929654767938,0.009835148321864294,0.02002625432666911,0.0001456273852914552,0.0001887031933155741,0.000238578646374255
32.0,0.4828560915828848,0.07362880028938135,0.009639650992340763,0.01938228168312182,0.000142182721297251,0.0001869661760130503,0.0002350525277237916
33.0,0.4872919302968102,0.04360733040256617,0.009522853296762475,0.01877858064782466,0.0001395883535238571,0.0001858001866193004,0.0002321402885175693
34.0,0.4960055977452523,0.1013068071409127,0.009601992407064138,0.01821152073644127,0.0001377137331892837,0.0001858630420433857,0.0002294017278324715
35.0,0.5032170632836771,0.07007154420751174,0.009745453795621155,0.01767768467838286,0.0001366566314969237,0.0001852956491118222,0.0002264800521251323
36.0,0.5086240950474463,0.06767852869745361,0.009812306452874993,0.01717383159963487,0.0001355670483925317,0.0001836369245993774,0.0002220057874914574
37.0,0.5143401647909027,0.04397389391792422,0.009843757460832131,0.01669785693233352,0.0001354776745628112,0.0001832453402615667,0.0002182832125055114
38.0,0.5188347104202836,0.03479303865416315,0.009912003069940866,0.01624797819488556,0.0001354336139502594,0.0001826691905559431,0.0002141876800029978
39.0,0.5213888341605235,0.02966413329078326,0.01000328832374778,0.01582150913591426,0.0001361259753630258,0.0001823981463626856,0.0002104141584063137
40.0,0.5263113287146641,0.789728430499818,0.01041988494276303,0.0154165266323111,0.0001368377283245561,0.0001834657825719567,0.0002072414458377269
41.0,0.5311272604178923,0.1792557266583738,0.01053745127684172,0.01503207649375899,0.0001374788089211763,0.0001822564618135931,0.000203403436688635
42.0,0.5383069938270489,0.1102003436238586,0.01068024194018728,0.0146666017195751,0.0001378948771612871,0.0001809108288154632,0.0001996454385276895
43.0,0.5441848723491327,0.04170283616988543,0.01072101422652415,0.01431847426484539,0.0001389102727881983,0.0001802394963665245,0.0001964888693750717
44.0,0.5479982059477122,0.02762048093225119,0.01088024394682227,0.01398664630440593,0.0001400544567629792,0.0001793621041387337,0.0001934568530700657
45.0,0.5523347160221558,0.03743235889997975,0.01109721393567817,0.0136698543675017,0.0001409553186243871,0.0001791845426739307,0.0001911464244819804
