iteration,continuity,epsilon,k,vf-phase-2,x-velocity,y-velocity,z-velocity
1.0,1.0,3468788.69094482,96.71232638077105,0.1236150016444199,0.0006978845727353729,0.0009692290643952604,0.0007481382036319882
2.0,1.0,0.2790244413858988,0.160063790835035,0.6006971579679423,0.0004721825549766526,0.0006331973653957649,0.0004928619521488038
3.0,1.0,1.001044561353348,0.1463637376624695,0.3003325357984306,0.0003260469853030654,0.000445016620781786,0.0003314523506520412
4.0,0.6620621841196093,0.7960494977395466,0.1309485461726549,0.2002167216823478,0.0002446880323172076,0.0003470087784233921,0.0002508008516593199
5.0,0.5880762258635991,0.4018159807868975,0.1186665592798446,0.1501619513389806,0.0002375156922982135,0.000304471148021191,0.0002464835488193855
6.0,0.45580925069759,0.3305561062771526,0.1004712072019301,0.1201313498737433,0.0002046552909678915,0.0002546901017305353,0.0002153998453237748
7.0,0.5100253834722833,1.13351066581131,0.08527680268981057,0.1001113472580129,0.0001952443320973316,0.0002290512020995683,0.000210003061236207
8.0,0.3938496767892238,2.636506471260637,0.084606100637792,0.08581147425742548,0.0001745395866074377,0.0001947081657476804,0.0001909537868270934
9.0,0.3607237003381927,0.6272047241500835,0.07982389216306002,0.07508700921833453,0.0001686832437654066,0.0001756154812592161,0.0001827721925499915
10.0,0.2985178260217485,0.4041776867902713,0.07320929269827774,0.06674609285729047,0.000155502285227089,0.0001545647034179235,0.0001697287462634966
11.0,0.2773303302268952,0.3465318379452204,0.0564560437919394,0.06007665617082159,0.0001478247528385896,0.0001413403690840196,0.000162375138017629
12.0,0.3165854999107612,0.2637990172069781,0.0448316601929213,0.05461864722994307,0.000149969042714449,0.0001372882396791605,0.0001687503714903529
13.0,0.2696368969083884,0.2053351461996266,0.03655133690389356,0.05006813798500633,0.0001409001854876896,0.0001247076841978607,0.0001617082038528686
14.0,0.2596440558791741,0.1932029987579782,0.0312455728005105,0.04621769131278097,0.0001364557689592795,0.0001190711534502947,0.0001563996919579612
15.0,0.2752012040062299,0.1585237689028017,0.02730647429383488,0.04291781678994657,0.000135133196215002,0.0001146961834875066,0.0001547903878443337
16.0,0.25558128964743,0.1234196501119363,0.02372676799711422,0.04005826204054838,0.0001300518882837373,0.0001085020692654771,0.0001513439092615042
17.0,0.2715323220072164,0.1041829710326724,0.02082798152920932,0.03755645910218933,0.0001305731243940229,0.0001078631824935718,0.0001537513659915602
18.0,0.2549938784044596,0.0865672317333127,0.01882557224000237,0.03534927738081634,0.0001266445603953058,0.0001036701118308573,0.0001515454684151003
19.0,0.2978552988263475,0.0829880536896778,0.01748942788838549,0.03338725711127647,0.0001290447325130436,0.0001068692973488131,0.0001552913818313807
20.0,0.2723137646985033,0.07037863119977308,0.01597493961336051,0.03163158274037917,0.0001254638778059686,0.0001027148506866446,0.0001540715976713386
21.0,0.2829049821181994,0.06334016515177186,0.01486054808704597,0.03005142818512739,0.0001267727254976165,0.0001045150039998542,0.0001560975926929754
22.0,0.3228176416443762,0.05735393959349815,0.01394383469083982,0.02862197652581077,0.0001292996250654763,0.0001069061962236737,0.0001622698687148487
23.0,0.2958029402675288,0.05274329536357752,0.01319348719190559,0.02732265032832379,0.0001273467356732467,0.000104823885567843,0.0001628400435995742
24.0,0.3121855895817818,0.0482959935831714,0.01253521472210475,0.02613630868089679,0.0001298473520766317,0.0001075202392009618,0.0001655178151925704
25.0,0.3545846249076736,0.04317027840646637,0.01189421256099944,0.02504875518769896,0.0001333321027057536,0.0001123484114151574,0.0001710792600324044
